CD  billion
NNP HI
NNP HX
NNP Hefner
NNP HC
NNP Hefnerkerze
NNP HK
NNP Hegman
NNP H
NNP Hz
NNP HT
NNP Hounsfield
NNP HU
NNP Cwt
NNP IACS
NNP IBU
NNP IE
NNP IGPM
NNP IG
NNP Imperical
NNP IRHD
NNP IU
NNP Internet
NNP Irish
NNP ISO
NNP IT
NNP Jy
NNP Jersey
NNP J
NNP Jones
NNP JTU
NNP Julian
NNP JD
NNP Jupiter
NNP K
NNP Knoop
NNP HK
NNP KHN
NNP Kz
NNP L
NNP La
NNP Lb
NNP Ly
NNP LD
NNP M
NNP Ma
NNP Mach
NNP Maf
NNP MY
NNP Mx
NNP MBF
NNP MBM
NNP MBH
NNP MBtuh
NNP MCF
NNP Mcfe
NNP Mcfd
NNP MCM
NNP Mcps
NNP MCU
NNP MTON
NNP MT
NNP MED
NNP Mbbl
NNP Mbo
NNP MMb
NNP Mb
NNP MBq
NNP Mbps
NNP MB
NNP MBps
NNP Mc
NNP MDa
NNP Mflops
NNP Mgal
NNP Mgd
NNP Mg
NNP Mha
NNP MHz
NNP MJ
NNP Ml
NNP ML
NNP Mm
NNP MA
NNP MN
NNP Mpc
NNP MPa
NNP MP
NNP Mp
NNP Mton
NNP Mt
NNP MW
NNP MWD
NNP Myr
NNP Ma
NNP Mercalli
NNP MIU
NNP MJD
NNP Mlb
NNP Mlbs
NNP MLN
NNP MMb
NNP MMbo
NNP MMBF
NNP MMBM
NNP MMBtu
NNP MMcf
NNP MMcfe
NNP MMcps
NNP MMM
NNP MMscfd
NNP MJD
NNS centimeters
NNS bags
NNS bips
NNS miles
NNS	acres
NNS	amperes
NNS	ares
NNS	atmospheres
NNS	coulombs
NNS cPs
NNS centistokes
NNS clicks
NNS cousins
NNS cps
NNS daktylos
NNS flops
NNS garnets
NNS gigaflops
NNS gps
NNS megabits
NNS megabytes
NNS megaflops
NNS mips
NNS	millimetres
NNS	units
NNS	inches
NNS	feet
NNS	yards
NNS	kilometres
NNS	centimetres
NNS countries
NNS	decimetres
NNS	pints
NNS	gallons
NNS	quarts
NNS	drams
NNS	grains
NNS	grains
NNS	packages
NNS	pieces
NNS	units
NNS	minutes
NNS	seconds
NNS sizes
NNS tonnes
NNS	hectares
NNS	litres
NNS	hectometres
NNS millisiemens
NNS	grams
NNS weights
NNS cents
NNS yen
RB  ampere
FW  de
FW  vapor
VBG rendering
VBG cooling
VBG heating
$   $
